2024-02-03 00:38:50.782 [info] Log level: Info
2024-02-03 00:38:50.782 [info] Validating found git in: "git"
2024-02-03 00:38:50.782 [info] Using git "2.34.1" from "git"
2024-02-03 00:38:50.782 [info] > git rev-parse --show-toplevel [3ms]
2024-02-03 00:38:50.782 [info] > git rev-parse --show-toplevel [2ms]
2024-02-03 00:38:50.782 [info] > git rev-parse --show-toplevel [3ms]
2024-02-03 00:38:50.788 [info] > git rev-parse --show-toplevel [1ms]
2024-02-03 00:38:50.793 [info] > git rev-parse --show-toplevel [1ms]
2024-02-03 00:38:50.799 [info] > git rev-parse --show-toplevel [1ms]
2024-02-03 00:38:50.805 [info] > git rev-parse --show-toplevel [1ms]
2024-02-03 00:38:50.811 [info] > git rev-parse --show-toplevel [1ms]
2024-02-03 00:38:50.817 [info] > git rev-parse --show-toplevel [2ms]
2024-02-03 00:38:50.822 [info] > git rev-parse --show-toplevel [1ms]
2024-02-03 00:38:50.829 [info] > git rev-parse --show-toplevel [1ms]
2024-02-03 00:38:50.835 [info] > git rev-parse --show-toplevel [2ms]
2024-02-03 00:38:50.842 [info] > git rev-parse --show-toplevel [2ms]
2024-02-03 01:16:21.713 [info] > git rev-parse --show-toplevel [2ms]
2024-02-03 01:16:21.720 [info] > git rev-parse --show-toplevel [1ms]
2024-02-03 01:16:21.726 [info] > git rev-parse --show-toplevel [0ms]
2024-02-03 01:16:21.732 [info] > git rev-parse --show-toplevel [1ms]
2024-02-03 01:17:04.831 [info] > git rev-parse --show-toplevel [1ms]
2024-02-03 01:17:04.837 [info] > git rev-parse --show-toplevel [0ms]
2024-02-03 01:17:04.843 [info] > git rev-parse --show-toplevel [1ms]
2024-02-03 01:17:04.849 [info] > git rev-parse --show-toplevel [1ms]
2024-02-03 01:17:30.864 [info] > git rev-parse --show-toplevel [1ms]
2024-02-03 01:17:30.870 [info] > git rev-parse --show-toplevel [1ms]
2024-02-03 01:17:30.877 [info] > git rev-parse --show-toplevel [1ms]
2024-02-03 01:17:30.883 [info] > git rev-parse --show-toplevel [1ms]
