2024-02-04 05:36:22.169 [info] Log level: Info
2024-02-04 05:36:22.169 [info] Validating found git in: "git"
2024-02-04 05:36:22.169 [info] Using git "2.34.1" from "git"
2024-02-04 05:36:22.169 [info] > git rev-parse --show-toplevel [2ms]
2024-02-04 05:36:22.169 [info] > git rev-parse --show-toplevel [2ms]
2024-02-04 05:36:22.169 [info] > git rev-parse --show-toplevel [2ms]
2024-02-04 05:36:22.169 [info] > git rev-parse --show-toplevel [3ms]
2024-02-04 05:36:39.597 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 05:37:23.116 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 05:37:30.085 [info] > git rev-parse --show-toplevel [2ms]
2024-02-04 05:37:44.610 [info] > git rev-parse --show-toplevel [2ms]
2024-02-04 05:39:19.673 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 05:40:16.345 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 05:40:26.696 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 05:43:15.637 [info] > git rev-parse --show-toplevel [2ms]
2024-02-04 05:43:54.130 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 05:44:04.309 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 05:44:07.547 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 05:44:14.527 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 05:45:13.188 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 05:45:52.649 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 05:46:58.786 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 05:47:19.871 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 05:47:24.987 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 05:47:56.998 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 05:48:00.400 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 05:48:11.435 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 05:51:39.887 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 05:52:55.141 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 05:54:04.307 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 05:54:19.280 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 05:54:21.269 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 05:54:32.461 [info] > git rev-parse --show-toplevel [2ms]
2024-02-04 06:00:51.319 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 06:03:25.511 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 06:06:15.263 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 06:11:59.701 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 06:14:16.381 [info] > git rev-parse --show-toplevel [2ms]
2024-02-04 06:14:46.803 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 06:15:09.500 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 06:16:11.134 [info] > git rev-parse --show-toplevel [2ms]
2024-02-04 06:17:18.952 [info] > git rev-parse --show-toplevel [2ms]
2024-02-04 06:17:48.954 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 06:18:24.616 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 06:21:59.997 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 06:23:35.442 [info] > git rev-parse --show-toplevel [2ms]
2024-02-04 06:28:52.659 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 06:29:26.935 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 06:30:15.498 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 06:31:50.638 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 06:32:23.318 [info] > git rev-parse --show-toplevel [2ms]
2024-02-04 06:34:12.980 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 06:34:56.059 [info] > git rev-parse --show-toplevel [2ms]
2024-02-04 06:35:37.528 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 06:36:04.111 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 06:36:58.425 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 06:37:29.738 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 06:38:48.994 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 06:39:04.642 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 06:39:18.062 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 06:39:34.560 [info] > git rev-parse --show-toplevel [2ms]
2024-02-04 06:39:50.717 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 06:40:23.727 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 06:42:01.650 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 06:45:17.909 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 06:45:24.239 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 06:46:13.634 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 06:46:19.173 [info] > git rev-parse --show-toplevel [1ms]
2024-02-04 06:46:30.069 [info] > git rev-parse --show-toplevel [1ms]
